"name","label"
"m2m_map_marker_map_marker_click_action","Map Marker Click Actions"
"sys_hub_flow_component","Component"
"cmdb_ci_endpoint_storefront_comp","StoreFront Components"
"cmdb_ci_endpoint_mysql_cl_mg","MySQL Cluster MGM Endpoint"
"cmdb_ci_lvm_pool","LVM Pool"
"cmdb_ci_os_packages","Package"
"sys_cors_rule","CORS Rule"
"sys_rw_amb_graphql_action","GraphQL Channel Responders"
"ts_c_2_9","Text Index for core_country"
"sc_cat_item_wizard","Wizard Launcher"
"dl_u_assignment","Assignment Data Lookup"
"sys_ia_preferences","Interactive Analysis Preferences"
"cmn_rota_roster","Roster"
"pa_job_log_rows0005","Job Log Row"
"sys_openapi","OpenAPI "
"sys_aw_registered_scripting_modal","Registered Scripting Modal"
"sys_soap_message","SOAP Message"
"sys_rest_message","REST Message"
"cmdb_ci_storage_cluster","Storage Cluster"
"sys_email_filter","Email Filter"
"sys_sync_change","Local Change"
"cmdb_ci_interconnect_instance","Interconnect Instance"
"cmdb_ci_iscsi_disk","iSCSI Disk"
"contract_rel_ci","Contract CI"
"svc_security_membership_ops","Service Security Membership Actions"
"pa_dashboards_permissions","Dashboard Permissions"
"sam_sw_model_lifecycle","Software Model Lifecycle"
"cmdb_ci_appl_dot_net",".NET Application"
"cert_filter","Certification Filter"
"sys_state_model","State Model"
"sla_repair_log_message0001","SLA Repair Log Message"
"cmdb_ci_endpoint","Endpoint"
"cmdb_ci_db_mssql_int_job","SQL Server Integration Services Job"
"ts_c_22_2","Text Index for kb_social_qa_comment"
"alm_transfer_order","Transfer Order"
"alm_asset","Asset"
"sys_push_application","Push Application"
"sn_devstudio_user_preferences","Studio User Preferences"
"cmdb_health_result_service_map","CMDB Health Result Service Mapping"
"ts_c_4_2","Text Index for appsec_domain_listing"
"svc_security_persona","Service Security Persona"
"ts_c_10_7","Text Index for kb_social_qa_answer"
"v_expression_cache","Expression Cache"
"sys_rollback_checksum","Sys Rollback Checksum"
"sp_angular_provider","Widget Angular Provider"
"sys_email_address_filt_except","Email Address Filter Exception"
"sys_email_address_filter","Email Address Filter"
"asmt_nps_definition","Assessment NPS Definition"
"license_metadata","License Metadata"
"ecc_agent_metric","ECC Agent Metric"
"cmdb_ci_endpoint_iscsi","ISCSI Endpoint"
"automation_pipeline_command_toolkit","Pipeline Command: Toolkit"
"sys_email","Email"
"gcf_licensing_count","Gcf Licensing Count"
"sys_user_token_network","User Token Network"
"ts_deleted_doc","Ts Deleted Doc"
"ts_index_stop","Index Stop Word"
"sysevent_register","Event Registration"
"wf_ui_policy_action","Workflow UI Policy Action"
"ts_c_16_2","Text Index for sys_metadata"
"cmdb_ci_endpoint_tbco_confile","Tibco Conf File Endpoint"
"proposed_change_verification_log0000","Proposed Change Verification Log"
"m2m_sp_ng_pro_sp_ng_pro","Angular Providers 2"
"cmdb_ci_nas_file_system","NAS File System"
"sys_user_delegate","Delegate"
"cmdb_ci_azure_subscription","Azure Subscription"
"cmdb_ci_endpoint_intgateway","Internet Gateway Endpoint"
"std_change_properties","Standard Change Properties"
"cmdb_ci_infra_service_ldap","LDAP Service"
"sys_column_stats","Column Statistics"
"dl_matcher","Data Lookup Matcher Rules"
"cmn_rota_contact_preference","Shift Contact Preference"
"sys_rate_limit_count","Rate Limit Count"
"sysapproval_approver","Approval"
"m2m_enterprise_s_goals","M2m Enterprise S Goals"
"sysrule_quota_app","Application Quota Rule"
"sys_sync_preview_local","Local Version Comparison"
